Indicador,Valor
MAE,24541243.076923076
RMSE,35650026.58236696
NMAE_%,5.670764272603847
NRMSE_%,8.23767958399647
MAPE_%,5.385774835385176
R2,-0.8778189058560923
R2 Baseline Media Train,-0.15953400168672927
R2 Baseline Estacional 12m,-6.112020474850878
Modelo Supera Baseline Estacional,True
Transformacion Objetivo,StandardScaler
Estado General,MODELO REQUIERE AJUSTES
