Registro,Prediccion
412,0.25755346
413,0.26857048
414,0.27282187
415,0.29030216
416,0.30333245
417,0.3284955
418,0.35061753
419,0.37493593
420,0.37051702
421,0.3923579
422,0.37575278
423,0.37780866
424,0.3728929
425,0.36586216
426,0.35362828
427,0.34061173
428,0.32202047
429,0.31700388
430,0.31892002
431,0.32763088
432,0.32548898
433,0.336973
434,0.3396128
435,0.3408512
436,0.3504908
437,0.35226575
438,0.34409013
439,0.33093944
440,0.32222584
441,0.3200969
442,0.31516808
443,0.3250827
444,0.31781447
445,0.32259658
446,0.32359576
447,0.33100548
448,0.34826463
449,0.3488276
450,0.33826584
451,0.3279652
452,0.32597598
453,0.33243015
454,0.3431769
455,0.3582711
456,0.36246282
457,0.3473569
458,0.3269853
459,0.32885224
460,0.339371
461,0.3507791
462,0.34296486
463,0.34294105
464,0.3411648
465,0.34046754
466,0.3495587
467,0.3594482
468,0.3545441
469,0.3537133
470,0.34743804
471,0.35898006
472,0.35305917
473,0.34514582
474,0.32935482
475,0.32428887
476,0.32192433
477,0.3155644
478,0.31279
479,0.31436267
480,0.313106
481,0.319126
482,0.3364969
483,0.3552287
484,0.3621738
485,0.37034994
486,0.37026298
487,0.35236144
488,0.339653
489,0.32368296
490,0.32443586
491,0.3318006
492,0.325131
493,0.33500984
494,0.32909516
495,0.34846327
496,0.36010295
497,0.34685916
498,0.33565512
499,0.3266296
500,0.31899342
501,0.31136957
502,0.3036714
503,0.30456835
504,0.30026418
505,0.28755292
506,0.27137902
507,0.2681929
508,0.2636054
509,0.26408765
510,0.26860306
511,0.27671337
512,0.29627854
513,0.31942537
514,0.34580964
515,0.3849852
516,0.41594076
517,0.4184574
518,0.45771402
519,0.4946871
520,0.53743523
521,0.582294
522,0.6371354
523,0.68204343
524,0.7285361
525,0.76774037
526,0.8049435
527,0.8523222
528,0.8624337
