Parametro,Valor
Experimento,Exp01-V3
Dominio,Gestión Hídrica
Variable Objetivo,irca
Modelo,modelo_Exp01-V3_irca.keras
Metodo Transformacion,RobustScaler
Ventana,12
Variables Predictoras,8
Registros Procesados,528
Predicciones Generadas,517
Fecha Ejecucion,2026-08-11 19:24
