Archivo,Descripcion
universo_analitico_vif.csv,Universo analítico enriquecido con diagnóstico VIF.
universo_analitico_vif.xlsx,Universo analítico enriquecido con diagnóstico VIF (Excel).
ranking_vif.csv,Ranking de variables según Factor de Inflación de la Varianza.
ranking_vif.xlsx,Ranking de variables según VIF (Excel).
Informe_VIF.md,Informe técnico del diagnóstico de multicolinealidad.
