ONI,PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,Precipitacion_mm,Radiacion_Solar,Humedad_Relativa,Temp_Min_C,Mes,Velocidad_Viento,nivel_de_riesgo
0.68,99.0,2.7,17.78,77.88,8.45,1,1.37,1
0.57,99.0,2.22,17.16,78.83,13.72,2,1.14,1
0.57,99.0,5.25,16.63,80.28,13.52,3,1.09,1
0.82,99.0,6.16,16.56,80.32,12.81,4,1.07,1
1.03,99.0,3.27,16.0,79.57,12.24,5,1.14,1
1.23,99.0,4.04,15.32,77.17,12.0,6,1.88,1
1.5,99.0,4.03,16.57,74.72,11.07,7,1.75,1
1.97,99.0,2.55,16.15,71.12,11.81,8,1.71,1
2.24,99.0,2.51,18.51,67.32,10.33,9,1.63,1
2.41,99.0,4.5,17.33,72.89,12.92,10,1.09,1
2.77,99.0,6.21,15.75,80.98,12.87,11,0.96,1
2.76,99.0,0.99,17.84,67.35,11.8,12,1.65,1
2.73,99.0,0.53,19.48,66.06,13.38,1,1.05,1
2.39,99.0,1.61,16.71,66.06,14.67,2,1.13,1
1.71,99.0,4.16,16.87,71.95,13.9,3,1.02,1
1.02,99.0,9.13,15.51,81.61,14.4,4,0.88,1
0.41,99.0,5.31,16.17,79.33,13.54,5,1.06,1
0.03,99.0,3.66,16.46,74.97,11.99,6,1.35,1
-0.43,99.0,3.8,15.98,73.25,11.8,7,1.44,1
-0.53,99.0,4.91,17.1,69.61,12.06,8,1.62,1
-0.53,99.0,4.44,17.44,72.41,11.44,9,1.2,1
-0.69,99.0,6.63,17.27,79.98,13.08,10,0.82,1
-0.7,99.0,7.34,15.56,84.81,12.8,11,1.01,1
-0.4,99.0,4.4,16.01,82.62,12.82,12,0.8,1
-0.26,99.0,1.76,15.76,80.31,10.73,1,1.01,1
0.07,99.0,1.36,19.23,74.17,13.08,2,1.3,1
0.13,99.0,8.93,15.18,83.17,14.42,3,0.83,1
