Indice_Secuencia,Nodo,Fecha_Inicio,Fecha_Fin,Fecha_Objetivo
53,Bogota_Sabana,2019-06-01,2020-05-01,2020-06-01
54,Bogota_Sabana,2019-07-01,2020-06-01,2020-07-01
55,Bogota_Sabana,2019-08-01,2020-07-01,2020-08-01
56,Bogota_Sabana,2019-09-01,2020-08-01,2020-09-01
57,Bogota_Sabana,2019-10-01,2020-09-01,2020-10-01
58,Bogota_Sabana,2019-11-01,2020-10-01,2020-11-01
59,Bogota_Sabana,2019-12-01,2020-11-01,2020-12-01
60,Bogota_Sabana,2020-01-01,2020-12-01,2021-01-01
61,Bogota_Sabana,2020-02-01,2021-01-01,2021-02-01
62,Bogota_Sabana,2020-03-01,2021-02-01,2021-03-01
63,Bogota_Sabana,2020-04-01,2021-03-01,2021-04-01
64,Bogota_Sabana,2020-05-01,2021-04-01,2021-05-01
65,Bogota_Sabana,2020-06-01,2021-05-01,2021-06-01
66,Bogota_Sabana,2020-07-01,2021-06-01,2021-07-01
67,Bogota_Sabana,2020-08-01,2021-07-01,2021-08-01
68,Bogota_Sabana,2020-09-01,2021-08-01,2021-09-01
69,Bogota_Sabana,2020-10-01,2021-09-01,2021-10-01
70,Bogota_Sabana,2020-11-01,2021-10-01,2021-11-01
71,Bogota_Sabana,2020-12-01,2021-11-01,2021-12-01
72,Bogota_Sabana,2021-01-01,2021-12-01,2022-01-01
73,Bogota_Sabana,2021-02-01,2022-01-01,2022-02-01
74,Bogota_Sabana,2021-03-01,2022-02-01,2022-03-01
75,Bogota_Sabana,2021-04-01,2022-03-01,2022-04-01
76,Bogota_Sabana,2021-05-01,2022-04-01,2022-05-01
77,Bogota_Sabana,2021-06-01,2022-05-01,2022-06-01
78,Bogota_Sabana,2021-07-01,2022-06-01,2022-07-01
79,Bogota_Sabana,2021-08-01,2022-07-01,2022-08-01
80,Bogota_Sabana,2021-09-01,2022-08-01,2022-09-01
81,Bogota_Sabana,2021-10-01,2022-09-01,2022-10-01
82,Bogota_Sabana,2021-11-01,2022-10-01,2022-11-01
83,Bogota_Sabana,2021-12-01,2022-11-01,2022-12-01
84,Bogota_Sabana,2022-01-01,2022-12-01,2023-01-01
85,Bogota_Sabana,2022-02-01,2023-01-01,2023-02-01
86,Bogota_Sabana,2022-03-01,2023-02-01,2023-03-01
87,Bogota_Sabana,2022-04-01,2023-03-01,2023-04-01
88,Bogota_Sabana,2022-05-01,2023-04-01,2023-05-01
89,Bogota_Sabana,2022-06-01,2023-05-01,2023-06-01
90,Bogota_Sabana,2022-07-01,2023-06-01,2023-07-01
91,Bogota_Sabana,2022-08-01,2023-07-01,2023-08-01
92,Bogota_Sabana,2022-09-01,2023-08-01,2023-09-01
93,Bogota_Sabana,2022-10-01,2023-09-01,2023-10-01
94,Bogota_Sabana,2022-11-01,2023-10-01,2023-11-01
95,Bogota_Sabana,2022-12-01,2023-11-01,2023-12-01
96,Bogota_Sabana,2023-01-01,2023-12-01,2024-01-01
97,Bogota_Sabana,2023-02-01,2024-01-01,2024-02-01
98,Bogota_Sabana,2023-03-01,2024-02-01,2024-03-01
99,Bogota_Sabana,2023-04-01,2024-03-01,2024-04-01
100,Bogota_Sabana,2023-05-01,2024-04-01,2024-05-01
101,Bogota_Sabana,2023-06-01,2024-05-01,2024-06-01
102,Bogota_Sabana,2023-07-01,2024-06-01,2024-07-01
103,Bogota_Sabana,2023-08-01,2024-07-01,2024-08-01
104,Bogota_Sabana,2023-09-01,2024-08-01,2024-09-01
105,Bogota_Sabana,2023-10-01,2024-09-01,2024-10-01
106,Bogota_Sabana,2023-11-01,2024-10-01,2024-11-01
107,Bogota_Sabana,2023-12-01,2024-11-01,2024-12-01
108,Bogota_Sabana,2024-01-01,2024-12-01,2025-01-01
109,Bogota_Sabana,2024-02-01,2025-01-01,2025-02-01
110,Bogota_Sabana,2024-03-01,2025-02-01,2025-03-01
111,Bogota_Sabana,2024-04-01,2025-03-01,2025-04-01
112,Bogota_Sabana,2024-05-01,2025-04-01,2025-05-01
113,Bogota_Sabana,2024-06-01,2025-05-01,2025-06-01
114,Bogota_Sabana,2024-07-01,2025-06-01,2025-07-01
115,Bogota_Sabana,2024-08-01,2025-07-01,2025-08-01
116,Bogota_Sabana,2024-09-01,2025-08-01,2025-09-01
117,Bogota_Sabana,2024-10-01,2025-09-01,2025-10-01
118,Bogota_Sabana,2024-11-01,2025-10-01,2025-11-01
119,Bogota_Sabana,2024-12-01,2025-11-01,2025-12-01
120,Sopo_Sur,2015-01-01,2015-12-01,2016-01-01
121,Sopo_Sur,2015-02-01,2016-01-01,2016-02-01
122,Sopo_Sur,2015-03-01,2016-02-01,2016-03-01
123,Sopo_Sur,2015-04-01,2016-03-01,2016-04-01
124,Sopo_Sur,2015-05-01,2016-04-01,2016-05-01
125,Sopo_Sur,2015-06-01,2016-05-01,2016-06-01
126,Sopo_Sur,2015-07-01,2016-06-01,2016-07-01
127,Sopo_Sur,2015-08-01,2016-07-01,2016-08-01
128,Sopo_Sur,2015-09-01,2016-08-01,2016-09-01
129,Sopo_Sur,2015-10-01,2016-09-01,2016-10-01
130,Sopo_Sur,2015-11-01,2016-10-01,2016-11-01
131,Sopo_Sur,2015-12-01,2016-11-01,2016-12-01
132,Sopo_Sur,2016-01-01,2016-12-01,2017-01-01
133,Sopo_Sur,2016-02-01,2017-01-01,2017-02-01
134,Sopo_Sur,2016-03-01,2017-02-01,2017-03-01
135,Sopo_Sur,2016-04-01,2017-03-01,2017-04-01
136,Sopo_Sur,2016-05-01,2017-04-01,2017-05-01
137,Sopo_Sur,2016-06-01,2017-05-01,2017-06-01
138,Sopo_Sur,2016-07-01,2017-06-01,2017-07-01
139,Sopo_Sur,2016-08-01,2017-07-01,2017-08-01
140,Sopo_Sur,2016-09-01,2017-08-01,2017-09-01
141,Sopo_Sur,2016-10-01,2017-09-01,2017-10-01
142,Sopo_Sur,2016-11-01,2017-10-01,2017-11-01
143,Sopo_Sur,2016-12-01,2017-11-01,2017-12-01
144,Sopo_Sur,2017-01-01,2017-12-01,2018-01-01
145,Sopo_Sur,2017-02-01,2018-01-01,2018-02-01
146,Sopo_Sur,2017-03-01,2018-02-01,2018-03-01
147,Sopo_Sur,2017-04-01,2018-03-01,2018-04-01
148,Sopo_Sur,2017-05-01,2018-04-01,2018-05-01
149,Sopo_Sur,2017-06-01,2018-05-01,2018-06-01
150,Sopo_Sur,2017-07-01,2018-06-01,2018-07-01
151,Sopo_Sur,2017-08-01,2018-07-01,2018-08-01
152,Sopo_Sur,2017-09-01,2018-08-01,2018-09-01
153,Sopo_Sur,2017-10-01,2018-09-01,2018-10-01
154,Sopo_Sur,2017-11-01,2018-10-01,2018-11-01
155,Sopo_Sur,2017-12-01,2018-11-01,2018-12-01
156,Sopo_Sur,2018-01-01,2018-12-01,2019-01-01
157,Sopo_Sur,2018-02-01,2019-01-01,2019-02-01
158,Sopo_Sur,2018-03-01,2019-02-01,2019-03-01
159,Sopo_Sur,2018-04-01,2019-03-01,2019-04-01
160,Sopo_Sur,2018-05-01,2019-04-01,2019-05-01
161,Sopo_Sur,2018-06-01,2019-05-01,2019-06-01
162,Sopo_Sur,2018-07-01,2019-06-01,2019-07-01
163,Sopo_Sur,2018-08-01,2019-07-01,2019-08-01
164,Sopo_Sur,2018-09-01,2019-08-01,2019-09-01
165,Sopo_Sur,2018-10-01,2019-09-01,2019-10-01
166,Sopo_Sur,2018-11-01,2019-10-01,2019-11-01
167,Sopo_Sur,2018-12-01,2019-11-01,2019-12-01
168,Sopo_Sur,2019-01-01,2019-12-01,2020-01-01
169,Sopo_Sur,2019-02-01,2020-01-01,2020-02-01
170,Sopo_Sur,2019-03-01,2020-02-01,2020-03-01
171,Sopo_Sur,2019-04-01,2020-03-01,2020-04-01
172,Sopo_Sur,2019-05-01,2020-04-01,2020-05-01
173,Sopo_Sur,2019-06-01,2020-05-01,2020-06-01
174,Sopo_Sur,2019-07-01,2020-06-01,2020-07-01
175,Sopo_Sur,2019-08-01,2020-07-01,2020-08-01
176,Sopo_Sur,2019-09-01,2020-08-01,2020-09-01
177,Sopo_Sur,2019-10-01,2020-09-01,2020-10-01
178,Sopo_Sur,2019-11-01,2020-10-01,2020-11-01
179,Sopo_Sur,2019-12-01,2020-11-01,2020-12-01
180,Sopo_Sur,2020-01-01,2020-12-01,2021-01-01
181,Sopo_Sur,2020-02-01,2021-01-01,2021-02-01
182,Sopo_Sur,2020-03-01,2021-02-01,2021-03-01
183,Sopo_Sur,2020-04-01,2021-03-01,2021-04-01
184,Sopo_Sur,2020-05-01,2021-04-01,2021-05-01
185,Sopo_Sur,2020-06-01,2021-05-01,2021-06-01
186,Sopo_Sur,2020-07-01,2021-06-01,2021-07-01
187,Sopo_Sur,2020-08-01,2021-07-01,2021-08-01
188,Sopo_Sur,2020-09-01,2021-08-01,2021-09-01
189,Sopo_Sur,2020-10-01,2021-09-01,2021-10-01
190,Sopo_Sur,2020-11-01,2021-10-01,2021-11-01
191,Sopo_Sur,2020-12-01,2021-11-01,2021-12-01
192,Sopo_Sur,2021-01-01,2021-12-01,2022-01-01
193,Sopo_Sur,2021-02-01,2022-01-01,2022-02-01
194,Sopo_Sur,2021-03-01,2022-02-01,2022-03-01
195,Sopo_Sur,2021-04-01,2022-03-01,2022-04-01
196,Sopo_Sur,2021-05-01,2022-04-01,2022-05-01
197,Sopo_Sur,2021-06-01,2022-05-01,2022-06-01
198,Sopo_Sur,2021-07-01,2022-06-01,2022-07-01
199,Sopo_Sur,2021-08-01,2022-07-01,2022-08-01
200,Sopo_Sur,2021-09-01,2022-08-01,2022-09-01
201,Sopo_Sur,2021-10-01,2022-09-01,2022-10-01
202,Sopo_Sur,2021-11-01,2022-10-01,2022-11-01
203,Sopo_Sur,2021-12-01,2022-11-01,2022-12-01
204,Sopo_Sur,2022-01-01,2022-12-01,2023-01-01
205,Sopo_Sur,2022-02-01,2023-01-01,2023-02-01
206,Sopo_Sur,2022-03-01,2023-02-01,2023-03-01
207,Sopo_Sur,2022-04-01,2023-03-01,2023-04-01
208,Sopo_Sur,2022-05-01,2023-04-01,2023-05-01
209,Sopo_Sur,2022-06-01,2023-05-01,2023-06-01
210,Sopo_Sur,2022-07-01,2023-06-01,2023-07-01
211,Sopo_Sur,2022-08-01,2023-07-01,2023-08-01
212,Sopo_Sur,2022-09-01,2023-08-01,2023-09-01
213,Sopo_Sur,2022-10-01,2023-09-01,2023-10-01
214,Sopo_Sur,2022-11-01,2023-10-01,2023-11-01
215,Sopo_Sur,2022-12-01,2023-11-01,2023-12-01
216,Sopo_Sur,2023-01-01,2023-12-01,2024-01-01
217,Sopo_Sur,2023-02-01,2024-01-01,2024-02-01
218,Sopo_Sur,2023-03-01,2024-02-01,2024-03-01
219,Sopo_Sur,2023-04-01,2024-03-01,2024-04-01
220,Sopo_Sur,2023-05-01,2024-04-01,2024-05-01
221,Sopo_Sur,2023-06-01,2024-05-01,2024-06-01
222,Sopo_Sur,2023-07-01,2024-06-01,2024-07-01
223,Sopo_Sur,2023-08-01,2024-07-01,2024-08-01
224,Sopo_Sur,2023-09-01,2024-08-01,2024-09-01
225,Sopo_Sur,2023-10-01,2024-09-01,2024-10-01
226,Sopo_Sur,2023-11-01,2024-10-01,2024-11-01
227,Sopo_Sur,2023-12-01,2024-11-01,2024-12-01
228,Sopo_Sur,2024-01-01,2024-12-01,2025-01-01
229,Sopo_Sur,2024-02-01,2025-01-01,2025-02-01
230,Sopo_Sur,2024-03-01,2025-02-01,2025-03-01
231,Sopo_Sur,2024-04-01,2025-03-01,2025-04-01
232,Sopo_Sur,2024-05-01,2025-04-01,2025-05-01
233,Sopo_Sur,2024-06-01,2025-05-01,2025-06-01
234,Sopo_Sur,2024-07-01,2025-06-01,2025-07-01
235,Sopo_Sur,2024-08-01,2025-07-01,2025-08-01
236,Sopo_Sur,2024-09-01,2025-08-01,2025-09-01
237,Sopo_Sur,2024-10-01,2025-09-01,2025-10-01
238,Sopo_Sur,2024-11-01,2025-10-01,2025-11-01
239,Sopo_Sur,2024-12-01,2025-11-01,2025-12-01
240,Tocancipa_Media,2015-01-01,2015-12-01,2016-01-01
241,Tocancipa_Media,2015-02-01,2016-01-01,2016-02-01
242,Tocancipa_Media,2015-03-01,2016-02-01,2016-03-01
243,Tocancipa_Media,2015-04-01,2016-03-01,2016-04-01
244,Tocancipa_Media,2015-05-01,2016-04-01,2016-05-01
245,Tocancipa_Media,2015-06-01,2016-05-01,2016-06-01
246,Tocancipa_Media,2015-07-01,2016-06-01,2016-07-01
247,Tocancipa_Media,2015-08-01,2016-07-01,2016-08-01
248,Tocancipa_Media,2015-09-01,2016-08-01,2016-09-01
249,Tocancipa_Media,2015-10-01,2016-09-01,2016-10-01
250,Tocancipa_Media,2015-11-01,2016-10-01,2016-11-01
251,Tocancipa_Media,2015-12-01,2016-11-01,2016-12-01
252,Tocancipa_Media,2016-01-01,2016-12-01,2017-01-01
253,Tocancipa_Media,2016-02-01,2017-01-01,2017-02-01
254,Tocancipa_Media,2016-03-01,2017-02-01,2017-03-01
255,Tocancipa_Media,2016-04-01,2017-03-01,2017-04-01
256,Tocancipa_Media,2016-05-01,2017-04-01,2017-05-01
257,Tocancipa_Media,2016-06-01,2017-05-01,2017-06-01
258,Tocancipa_Media,2016-07-01,2017-06-01,2017-07-01
259,Tocancipa_Media,2016-08-01,2017-07-01,2017-08-01
260,Tocancipa_Media,2016-09-01,2017-08-01,2017-09-01
261,Tocancipa_Media,2016-10-01,2017-09-01,2017-10-01
262,Tocancipa_Media,2016-11-01,2017-10-01,2017-11-01
263,Tocancipa_Media,2016-12-01,2017-11-01,2017-12-01
264,Tocancipa_Media,2017-01-01,2017-12-01,2018-01-01
265,Tocancipa_Media,2017-02-01,2018-01-01,2018-02-01
266,Tocancipa_Media,2017-03-01,2018-02-01,2018-03-01
267,Tocancipa_Media,2017-04-01,2018-03-01,2018-04-01
268,Tocancipa_Media,2017-05-01,2018-04-01,2018-05-01
269,Tocancipa_Media,2017-06-01,2018-05-01,2018-06-01
270,Tocancipa_Media,2017-07-01,2018-06-01,2018-07-01
271,Tocancipa_Media,2017-08-01,2018-07-01,2018-08-01
272,Tocancipa_Media,2017-09-01,2018-08-01,2018-09-01
273,Tocancipa_Media,2017-10-01,2018-09-01,2018-10-01
274,Tocancipa_Media,2017-11-01,2018-10-01,2018-11-01
275,Tocancipa_Media,2017-12-01,2018-11-01,2018-12-01
276,Tocancipa_Media,2018-01-01,2018-12-01,2019-01-01
277,Tocancipa_Media,2018-02-01,2019-01-01,2019-02-01
278,Tocancipa_Media,2018-03-01,2019-02-01,2019-03-01
279,Tocancipa_Media,2018-04-01,2019-03-01,2019-04-01
280,Tocancipa_Media,2018-05-01,2019-04-01,2019-05-01
281,Tocancipa_Media,2018-06-01,2019-05-01,2019-06-01
282,Tocancipa_Media,2018-07-01,2019-06-01,2019-07-01
283,Tocancipa_Media,2018-08-01,2019-07-01,2019-08-01
284,Tocancipa_Media,2018-09-01,2019-08-01,2019-09-01
285,Tocancipa_Media,2018-10-01,2019-09-01,2019-10-01
286,Tocancipa_Media,2018-11-01,2019-10-01,2019-11-01
287,Tocancipa_Media,2018-12-01,2019-11-01,2019-12-01
288,Tocancipa_Media,2019-01-01,2019-12-01,2020-01-01
289,Tocancipa_Media,2019-02-01,2020-01-01,2020-02-01
290,Tocancipa_Media,2019-03-01,2020-02-01,2020-03-01
291,Tocancipa_Media,2019-04-01,2020-03-01,2020-04-01
292,Tocancipa_Media,2019-05-01,2020-04-01,2020-05-01
293,Tocancipa_Media,2019-06-01,2020-05-01,2020-06-01
294,Tocancipa_Media,2019-07-01,2020-06-01,2020-07-01
295,Tocancipa_Media,2019-08-01,2020-07-01,2020-08-01
296,Tocancipa_Media,2019-09-01,2020-08-01,2020-09-01
297,Tocancipa_Media,2019-10-01,2020-09-01,2020-10-01
298,Tocancipa_Media,2019-11-01,2020-10-01,2020-11-01
299,Tocancipa_Media,2019-12-01,2020-11-01,2020-12-01
300,Tocancipa_Media,2020-01-01,2020-12-01,2021-01-01
301,Tocancipa_Media,2020-02-01,2021-01-01,2021-02-01
302,Tocancipa_Media,2020-03-01,2021-02-01,2021-03-01
303,Tocancipa_Media,2020-04-01,2021-03-01,2021-04-01
304,Tocancipa_Media,2020-05-01,2021-04-01,2021-05-01
305,Tocancipa_Media,2020-06-01,2021-05-01,2021-06-01
306,Tocancipa_Media,2020-07-01,2021-06-01,2021-07-01
307,Tocancipa_Media,2020-08-01,2021-07-01,2021-08-01
308,Tocancipa_Media,2020-09-01,2021-08-01,2021-09-01
309,Tocancipa_Media,2020-10-01,2021-09-01,2021-10-01
310,Tocancipa_Media,2020-11-01,2021-10-01,2021-11-01
311,Tocancipa_Media,2020-12-01,2021-11-01,2021-12-01
312,Tocancipa_Media,2021-01-01,2021-12-01,2022-01-01
313,Tocancipa_Media,2021-02-01,2022-01-01,2022-02-01
314,Tocancipa_Media,2021-03-01,2022-02-01,2022-03-01
315,Tocancipa_Media,2021-04-01,2022-03-01,2022-04-01
316,Tocancipa_Media,2021-05-01,2022-04-01,2022-05-01
317,Tocancipa_Media,2021-06-01,2022-05-01,2022-06-01
318,Tocancipa_Media,2021-07-01,2022-06-01,2022-07-01
319,Tocancipa_Media,2021-08-01,2022-07-01,2022-08-01
320,Tocancipa_Media,2021-09-01,2022-08-01,2022-09-01
321,Tocancipa_Media,2021-10-01,2022-09-01,2022-10-01
322,Tocancipa_Media,2021-11-01,2022-10-01,2022-11-01
323,Tocancipa_Media,2021-12-01,2022-11-01,2022-12-01
324,Tocancipa_Media,2022-01-01,2022-12-01,2023-01-01
325,Tocancipa_Media,2022-02-01,2023-01-01,2023-02-01
326,Tocancipa_Media,2022-03-01,2023-02-01,2023-03-01
327,Tocancipa_Media,2022-04-01,2023-03-01,2023-04-01
328,Tocancipa_Media,2022-05-01,2023-04-01,2023-05-01
329,Tocancipa_Media,2022-06-01,2023-05-01,2023-06-01
330,Tocancipa_Media,2022-07-01,2023-06-01,2023-07-01
331,Tocancipa_Media,2022-08-01,2023-07-01,2023-08-01
332,Tocancipa_Media,2022-09-01,2023-08-01,2023-09-01
333,Tocancipa_Media,2022-10-01,2023-09-01,2023-10-01
334,Tocancipa_Media,2022-11-01,2023-10-01,2023-11-01
335,Tocancipa_Media,2022-12-01,2023-11-01,2023-12-01
336,Tocancipa_Media,2023-01-01,2023-12-01,2024-01-01
337,Tocancipa_Media,2023-02-01,2024-01-01,2024-02-01
338,Tocancipa_Media,2023-03-01,2024-02-01,2024-03-01
339,Tocancipa_Media,2023-04-01,2024-03-01,2024-04-01
340,Tocancipa_Media,2023-05-01,2024-04-01,2024-05-01
341,Tocancipa_Media,2023-06-01,2024-05-01,2024-06-01
342,Tocancipa_Media,2023-07-01,2024-06-01,2024-07-01
343,Tocancipa_Media,2023-08-01,2024-07-01,2024-08-01
344,Tocancipa_Media,2023-09-01,2024-08-01,2024-09-01
345,Tocancipa_Media,2023-10-01,2024-09-01,2024-10-01
346,Tocancipa_Media,2023-11-01,2024-10-01,2024-11-01
347,Tocancipa_Media,2023-12-01,2024-11-01,2024-12-01
348,Tocancipa_Media,2024-01-01,2024-12-01,2025-01-01
349,Tocancipa_Media,2024-02-01,2025-01-01,2025-02-01
350,Tocancipa_Media,2024-03-01,2025-02-01,2025-03-01
351,Tocancipa_Media,2024-04-01,2025-03-01,2025-04-01
352,Tocancipa_Media,2024-05-01,2025-04-01,2025-05-01
353,Tocancipa_Media,2024-06-01,2025-05-01,2025-06-01
354,Tocancipa_Media,2024-07-01,2025-06-01,2025-07-01
355,Tocancipa_Media,2024-08-01,2025-07-01,2025-08-01
356,Tocancipa_Media,2024-09-01,2025-08-01,2025-09-01
357,Tocancipa_Media,2024-10-01,2025-09-01,2025-10-01
358,Tocancipa_Media,2024-11-01,2025-10-01,2025-11-01
359,Tocancipa_Media,2024-12-01,2025-11-01,2025-12-01
360,Villapinzon_Alta,2015-01-01,2015-12-01,2016-01-01
361,Villapinzon_Alta,2015-02-01,2016-01-01,2016-02-01
362,Villapinzon_Alta,2015-03-01,2016-02-01,2016-03-01
363,Villapinzon_Alta,2015-04-01,2016-03-01,2016-04-01
364,Villapinzon_Alta,2015-05-01,2016-04-01,2016-05-01
365,Villapinzon_Alta,2015-06-01,2016-05-01,2016-06-01
366,Villapinzon_Alta,2015-07-01,2016-06-01,2016-07-01
367,Villapinzon_Alta,2015-08-01,2016-07-01,2016-08-01
368,Villapinzon_Alta,2015-09-01,2016-08-01,2016-09-01
369,Villapinzon_Alta,2015-10-01,2016-09-01,2016-10-01
370,Villapinzon_Alta,2015-11-01,2016-10-01,2016-11-01
371,Villapinzon_Alta,2015-12-01,2016-11-01,2016-12-01
372,Villapinzon_Alta,2016-01-01,2016-12-01,2017-01-01
373,Villapinzon_Alta,2016-02-01,2017-01-01,2017-02-01
374,Villapinzon_Alta,2016-03-01,2017-02-01,2017-03-01
375,Villapinzon_Alta,2016-04-01,2017-03-01,2017-04-01
376,Villapinzon_Alta,2016-05-01,2017-04-01,2017-05-01
377,Villapinzon_Alta,2016-06-01,2017-05-01,2017-06-01
378,Villapinzon_Alta,2016-07-01,2017-06-01,2017-07-01
379,Villapinzon_Alta,2016-08-01,2017-07-01,2017-08-01
380,Villapinzon_Alta,2016-09-01,2017-08-01,2017-09-01
381,Villapinzon_Alta,2016-10-01,2017-09-01,2017-10-01
382,Villapinzon_Alta,2016-11-01,2017-10-01,2017-11-01
383,Villapinzon_Alta,2016-12-01,2017-11-01,2017-12-01
384,Villapinzon_Alta,2017-01-01,2017-12-01,2018-01-01
385,Villapinzon_Alta,2017-02-01,2018-01-01,2018-02-01
386,Villapinzon_Alta,2017-03-01,2018-02-01,2018-03-01
387,Villapinzon_Alta,2017-04-01,2018-03-01,2018-04-01
388,Villapinzon_Alta,2017-05-01,2018-04-01,2018-05-01
389,Villapinzon_Alta,2017-06-01,2018-05-01,2018-06-01
390,Villapinzon_Alta,2017-07-01,2018-06-01,2018-07-01
391,Villapinzon_Alta,2017-08-01,2018-07-01,2018-08-01
392,Villapinzon_Alta,2017-09-01,2018-08-01,2018-09-01
393,Villapinzon_Alta,2017-10-01,2018-09-01,2018-10-01
394,Villapinzon_Alta,2017-11-01,2018-10-01,2018-11-01
395,Villapinzon_Alta,2017-12-01,2018-11-01,2018-12-01
396,Villapinzon_Alta,2018-01-01,2018-12-01,2019-01-01
397,Villapinzon_Alta,2018-02-01,2019-01-01,2019-02-01
398,Villapinzon_Alta,2018-03-01,2019-02-01,2019-03-01
399,Villapinzon_Alta,2018-04-01,2019-03-01,2019-04-01
400,Villapinzon_Alta,2018-05-01,2019-04-01,2019-05-01
401,Villapinzon_Alta,2018-06-01,2019-05-01,2019-06-01
402,Villapinzon_Alta,2018-07-01,2019-06-01,2019-07-01
403,Villapinzon_Alta,2018-08-01,2019-07-01,2019-08-01
404,Villapinzon_Alta,2018-09-01,2019-08-01,2019-09-01
405,Villapinzon_Alta,2018-10-01,2019-09-01,2019-10-01
406,Villapinzon_Alta,2018-11-01,2019-10-01,2019-11-01
407,Villapinzon_Alta,2018-12-01,2019-11-01,2019-12-01
408,Villapinzon_Alta,2019-01-01,2019-12-01,2020-01-01
409,Villapinzon_Alta,2019-02-01,2020-01-01,2020-02-01
410,Villapinzon_Alta,2019-03-01,2020-02-01,2020-03-01
411,Villapinzon_Alta,2019-04-01,2020-03-01,2020-04-01
412,Villapinzon_Alta,2019-05-01,2020-04-01,2020-05-01
413,Villapinzon_Alta,2019-06-01,2020-05-01,2020-06-01
414,Villapinzon_Alta,2019-07-01,2020-06-01,2020-07-01
415,Villapinzon_Alta,2019-08-01,2020-07-01,2020-08-01
416,Villapinzon_Alta,2019-09-01,2020-08-01,2020-09-01
417,Villapinzon_Alta,2019-10-01,2020-09-01,2020-10-01
418,Villapinzon_Alta,2019-11-01,2020-10-01,2020-11-01
419,Villapinzon_Alta,2019-12-01,2020-11-01,2020-12-01
420,Villapinzon_Alta,2020-01-01,2020-12-01,2021-01-01
421,Villapinzon_Alta,2020-02-01,2021-01-01,2021-02-01
422,Villapinzon_Alta,2020-03-01,2021-02-01,2021-03-01
