Indice_Secuencia,Nodo,Fecha_Inicio,Fecha_Fin,Fecha_Objetivo
0,Bogota_Sabana,2015-01-01,2015-12-01,2016-01-01
1,Bogota_Sabana,2015-02-01,2016-01-01,2016-02-01
2,Bogota_Sabana,2015-03-01,2016-02-01,2016-03-01
3,Bogota_Sabana,2015-04-01,2016-03-01,2016-04-01
4,Bogota_Sabana,2015-05-01,2016-04-01,2016-05-01
5,Bogota_Sabana,2015-06-01,2016-05-01,2016-06-01
6,Bogota_Sabana,2015-07-01,2016-06-01,2016-07-01
7,Bogota_Sabana,2015-08-01,2016-07-01,2016-08-01
8,Bogota_Sabana,2015-09-01,2016-08-01,2016-09-01
9,Bogota_Sabana,2015-10-01,2016-09-01,2016-10-01
10,Bogota_Sabana,2015-11-01,2016-10-01,2016-11-01
11,Bogota_Sabana,2015-12-01,2016-11-01,2016-12-01
12,Bogota_Sabana,2016-01-01,2016-12-01,2017-01-01
13,Bogota_Sabana,2016-02-01,2017-01-01,2017-02-01
14,Bogota_Sabana,2016-03-01,2017-02-01,2017-03-01
15,Bogota_Sabana,2016-04-01,2017-03-01,2017-04-01
16,Bogota_Sabana,2016-05-01,2017-04-01,2017-05-01
17,Bogota_Sabana,2016-06-01,2017-05-01,2017-06-01
18,Bogota_Sabana,2016-07-01,2017-06-01,2017-07-01
19,Bogota_Sabana,2016-08-01,2017-07-01,2017-08-01
20,Bogota_Sabana,2016-09-01,2017-08-01,2017-09-01
21,Bogota_Sabana,2016-10-01,2017-09-01,2017-10-01
22,Bogota_Sabana,2016-11-01,2017-10-01,2017-11-01
23,Bogota_Sabana,2016-12-01,2017-11-01,2017-12-01
24,Bogota_Sabana,2017-01-01,2017-12-01,2018-01-01
25,Bogota_Sabana,2017-02-01,2018-01-01,2018-02-01
26,Bogota_Sabana,2017-03-01,2018-02-01,2018-03-01
27,Bogota_Sabana,2017-04-01,2018-03-01,2018-04-01
28,Bogota_Sabana,2017-05-01,2018-04-01,2018-05-01
29,Bogota_Sabana,2017-06-01,2018-05-01,2018-06-01
30,Bogota_Sabana,2017-07-01,2018-06-01,2018-07-01
31,Bogota_Sabana,2017-08-01,2018-07-01,2018-08-01
32,Bogota_Sabana,2017-09-01,2018-08-01,2018-09-01
33,Bogota_Sabana,2017-10-01,2018-09-01,2018-10-01
34,Bogota_Sabana,2017-11-01,2018-10-01,2018-11-01
35,Bogota_Sabana,2017-12-01,2018-11-01,2018-12-01
36,Bogota_Sabana,2018-01-01,2018-12-01,2019-01-01
37,Bogota_Sabana,2018-02-01,2019-01-01,2019-02-01
38,Bogota_Sabana,2018-03-01,2019-02-01,2019-03-01
39,Bogota_Sabana,2018-04-01,2019-03-01,2019-04-01
40,Bogota_Sabana,2018-05-01,2019-04-01,2019-05-01
41,Bogota_Sabana,2018-06-01,2019-05-01,2019-06-01
42,Bogota_Sabana,2018-07-01,2019-06-01,2019-07-01
43,Bogota_Sabana,2018-08-01,2019-07-01,2019-08-01
44,Bogota_Sabana,2018-09-01,2019-08-01,2019-09-01
45,Bogota_Sabana,2018-10-01,2019-09-01,2019-10-01
46,Bogota_Sabana,2018-11-01,2019-10-01,2019-11-01
47,Bogota_Sabana,2018-12-01,2019-11-01,2019-12-01
48,Bogota_Sabana,2019-01-01,2019-12-01,2020-01-01
49,Bogota_Sabana,2019-02-01,2020-01-01,2020-02-01
50,Bogota_Sabana,2019-03-01,2020-02-01,2020-03-01
51,Bogota_Sabana,2019-04-01,2020-03-01,2020-04-01
52,Bogota_Sabana,2019-05-01,2020-04-01,2020-05-01
