Indice_Secuencia,Nodo,Fecha_Inicio,Fecha_Fin,Fecha_Objetivo,Particion,Registro,Real,Prediccion,Error,Error_Absoluto,Error_Porcentual_Abs
166,Sopo_Sur,2024-11-01,2025-10-01,2025-11-01,Prueba,166,415953200.0,440746342.1125792,-24793126.112579226,24793126.112579226,5.960556418099488
167,Sopo_Sur,2024-12-01,2025-11-01,2025-12-01,Prueba,167,425201800.0,442042451.3372492,-16840659.33724922,16840659.33724922,3.960627554751514
168,Tocancipa_Media,2018-01-01,2018-12-01,2019-01-01,Train,168,375310880.0,405846934.6622558,-30536054.662255824,30536054.662255824,8.136202889256987
169,Tocancipa_Media,2018-02-01,2019-01-01,2019-02-01,Train,169,349228900.0,402838710.4221618,-53609814.42216182,53609814.42216182,15.350910258629291
170,Tocancipa_Media,2018-03-01,2019-02-01,2019-03-01,Train,170,322214620.0,400737832.09608483,-78523208.09608483,78523208.09608483,24.369846135873967
171,Tocancipa_Media,2018-04-01,2019-03-01,2019-04-01,Train,171,308249470.0,393249391.38315326,-84999919.38315326,84999919.38315326,27.57504135583832
172,Tocancipa_Media,2018-05-01,2019-04-01,2019-05-01,Train,172,307606180.0,389227975.31881976,-81621799.31881976,81621799.31881976,26.53451253164038
173,Tocancipa_Media,2018-06-01,2019-05-01,2019-06-01,Train,173,321782800.0,385276469.78670764,-63493685.78670764,63493685.78670764,19.73184674376726
174,Tocancipa_Media,2018-07-01,2019-06-01,2019-07-01,Train,174,366243800.0,386365341.6837133,-20121533.683713317,20121533.683713317,5.494026996277113
175,Tocancipa_Media,2018-08-01,2019-07-01,2019-08-01,Train,175,390054880.0,387806618.5989489,2248261.401051104,2248261.401051104,0.5763961730336777
