Nodo,Particion,N,MAE,RMSE,NMAE_%,NRMSE_%,MAPE_%,R2
Bogota_Sabana,Prueba,13,25101503.94973641,38445564.94299707,5.800224191603436,8.883646824061083,5.455312603600399,-1.1838685062053966
Sopo_Sur,Prueba,13,24168920.922009848,32108730.914899934,5.584731500451153,7.419389618534926,5.403437221439813,-0.5232818671184634
Tocancipa_Media,Prueba,13,24079522.559842642,34270704.90851865,5.5640741508369524,7.918958643742136,5.27200819621773,-0.735321973578912
Villapinzon_Alta,Prueba,13,24815023.081059754,37419029.43750127,5.734026832741703,8.646444460233033,5.412340962123332,-1.068802482248735
