Particion,N,MAE,RMSE,NMAE_%,NRMSE_%,MAPE_%,R2
Train,232,67355613.84706216,80079690.9359308,15.946808882878617,18.95930352078552,17.16010105134226,0.4023029161942405
Validacion,52,74917213.37436303,86283691.47120482,14.697504453256562,16.927417378759788,14.736356809230536,-3.6217007374630983
Prueba,52,24541242.628162153,35650024.697477445,5.67076416890831,8.237679148453575,5.385774745845319,-0.8778187072878774
Global_Descriptivo,336,61899827.75193372,76004800.59992123,14.148420330108195,17.372388664848128,14.962780609450444,0.3383645176105601
