Archivo,Descripcion
redundancia_variables.csv,Diagnóstico completo de redundancia por variable
redundancia_variables.xlsx,Diagnóstico completo de redundancia por variable
ranking_redundancia.csv,Ranking del Índice de Redundancia
ranking_redundancia.xlsx,Ranking del Índice de Redundancia
ranking_redundancia.png,Gráfico del ranking de redundancia
red_redundancia.png,Red de redundancia estructural
Informe_Redundancia.md,Informe técnico del diagnóstico de redundancia
