Particion,N,Accuracy,Precision,Recall,F1,Especificidad,Accuracy_Balanceada,AUC_ROC,Clases_Presentes
Train,336,0.8244047619047619,1.0,0.18055555555555555,0.3058823529411765,1.0,0.5902777777777778,0.835648148148148,2
Validacion,72,0.9027777777777778,0.0,0.0,0.0,0.9027777777777778,0.4513888888888889,,1
Prueba,72,1.0,0.0,0.0,0.0,1.0,0.5,,1
Global_Descriptivo,480,0.8625,0.65,0.18055555555555555,0.2826086956521739,0.9828431372549019,0.5816993464052287,0.7596337145969498,2
