ONI,PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,Precipitacion_mm,Radiacion_Solar,irca,Humedad_Relativa,Temp_Min_C,Mes,Velocidad_Viento,VolumenUtilDiarioMasa
0.5708418891170431,0.0,-0.5947990543735225,0.6283618581907103,1.625,-1.1919770773638951,-0.7100442198357548,-1.0,0.9444444444444448,
0.48049281314168374,0.0,-0.6855791962174942,0.32518337408313064,1.625,-1.0558739255014307,0.6216045483259633,-0.8181818181818182,0.30555555555555525,
0.48049281314168374,0.0,-0.11252955082742315,0.06601466992665107,1.625,-0.8481375358166167,0.5710675931775108,-0.6363636363636364,0.16666666666666682,
0.6858316221765913,0.0,0.05957446808510647,0.03178484107579522,1.625,-0.8424068767908298,0.3916614024005054,-0.45454545454545453,0.11111111111111122,
0.8583162217659137,0.0,-0.4869976359338062,-0.24205378973104988,1.625,-0.9498567335243541,0.2476310802274163,-0.2727272727272727,0.30555555555555525,
1.0225872689938398,0.0,-0.34137115839243504,-0.5745721271393625,1.625,-1.2936962750716305,0.18698673404927352,-0.09090909090909091,2.3611111111111107,
1.24435318275154,0.0,-0.3432624113475177,0.03667481662591823,1.625,-1.6446991404011437,-0.048010107391029545,0.09090909090909091,2.0,
1.6303901437371662,0.0,-0.6231678486997637,-0.1687041564792169,1.625,-2.1604584527220596,0.13897662665824398,0.2727272727272727,1.8888888888888888,
1.8521560574948668,0.0,-0.6307328605200947,0.9853300733496344,1.625,-2.7048710601719175,-0.23499684144030306,0.45454545454545453,1.6666666666666663,
1.9917864476386038,0.0,-0.2543735224586289,0.4083129584352079,1.625,-1.9068767908309427,0.41945672773215403,0.6363636363636364,0.16666666666666682,
2.2874743326488707,0.0,0.06903073286052015,-0.36430317848410604,1.625,-0.7478510028653269,0.4068224889450408,0.8181818181818182,-0.19444444444444461,
2.279260780287474,0.0,-0.9182033096926715,0.6577017114914432,1.625,-2.7005730659025766,0.1364497789008214,1.0,1.7222222222222219,
2.2546201232032854,0.0,-1.0052009456264777,1.4596577017114918,1.5625,-2.885386819484237,0.5356917245735945,-1.0,0.05555555555555561,
1.9753593429158112,0.0,-0.8009456264775414,0.10513447432762994,1.5625,-2.885386819484237,0.8616550852811116,-0.8181818181818182,0.2777777777777774,
1.4168377823408622,0.0,-0.3186761229314421,0.18337408312958595,1.5625,-2.0415472779369597,0.6670878079595703,-0.6363636363636364,-0.027777777777777804,
0.8501026694045174,0.0,0.6212765957446812,-0.48166259168704,1.5625,-0.6575931232091672,0.7934301958307011,-0.45454545454545453,-0.41666666666666674,
0.34907597535934287,0.0,-0.10118203309692676,-0.1589242053789709,1.5625,-0.9842406876790811,0.5761212886923559,-0.2727272727272727,0.08333333333333341,
0.03696098562628337,0.0,-0.41323877068557924,-0.01711491442542619,1.5625,-1.608882521489969,0.18445988629185095,-0.09090909090909091,0.8888888888888891,
-0.3408624229979466,0.0,-0.38676122931442086,-0.2518337408312942,1.5625,-1.8553008595988512,0.1364497789008214,0.09090909090909091,1.1388888888888886,
-0.42299794661190965,0.0,-0.17683215130023638,0.2958435207823978,1.5625,-2.3767908309455557,0.20214782059380934,0.2727272727272727,1.638888888888889,
-0.42299794661190965,0.0,-0.26572104018912523,0.4621026894865541,1.5625,-1.9756446991403989,0.045483259633606984,0.45454545454545453,0.47222222222222204,
-0.5544147843942504,0.0,0.14846335697399535,0.3789731051344751,1.5625,-0.891117478510026,0.4598862918509159,0.6363636363636364,-0.5833333333333336,
-0.5626283367556467,0.0,0.28274231678487005,-0.4572127139364284,1.5625,-0.19914040114612974,0.38913455464308283,0.8181818181818182,-0.05555555555555561,
-0.3162217659137577,0.0,-0.2732860520094562,-0.23716381418092689,1.5625,-0.5128939828080203,0.39418825015792797,1.0,-0.6388888888888888,
